Club ID;Club;Country
1;Ajax;Netherlands
2;Atalanta;Italy
3;Atletico;Spain
4;Barcelona;Spain
5;Bayern;Germany
6;Benfica;Portugal
7;Besiktas;Turkey
8;Chelsea;England
9;Club Brugge;Belgium
10;Dortmund;Germany
11;Dynamo Kyiv;Ukraine
12;Inter;Italy
13;Juventus;Italy
14;Leipzig;Germany
15;Liverpool;England
16;LOSC;France
17;Malmo;Sweden
18;Man. City;England
19;Man. United;England
20;Milan;Italy
21;Paris;France
22;Porto;Portugal
23;Real Madrid;Spain
24;Salzburg;Austria
25;Sevilla;Spain
26;Shakhtar Donetsk;Ukraine
27;Sheriff;Moldova
28;Sporting CP;Portugal
29;Villarreal;Spain
30;Wolfsburg;Germany
31;Young Boys;Switzerland
32;Zenit;Russia
